,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you work in?,Do you work remotely?
0,No,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,29,Male,United States of America,Never
1,Yes,Yes,No,No,No,Neither easy nor difficult,Yes,Maybe,Maybe,No,No,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,43,Female,United States of America,Sometimes
2,I don't know,No,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,"Yes, at all of my previous employers","Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,No,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,United States of America,Sometimes
3,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,37,Female,United States of America,Always
4,I don't know,No,No,No,I don't know,Very difficult,Yes,Yes,Yes,Maybe,No,No,"No, at none of my previous employers",Maybe,"Yes, they do",Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Rarely,Often,44,Female,United States of America,Sometimes
5,,,,,,,,,,,,,Some of my previous employers,Maybe,"No, I don't think they would",Very open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,30,Male,United States of America,Always
6,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Some of my previous employers,"No, I don't think it would",Maybe,Very open,"Yes, I observed",Maybe,I don't know,Yes,Yes,Yes,1,Sometimes,Often,28,Male,United States of America,Never
7,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Not open at all,No,,Yes,Yes,Yes,Yes,1,Never,Rarely,34,Male,United States of America,Sometimes
8,Yes,I am not sure,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,"No, it has not","No, they do not",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,30,Female,United States of America,Always
9,Yes,Yes,No,I don't know,Yes,Very easy,No,No,Yes,Yes,No,No,I don't know,"No, it has not","No, they do not",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,35,Male,United States of America,Always
